案发年份_code,案发月份_code,案发日期_code,案发日期敏感度_code,工作大类_code,工作小类_code,相关人性别_code,相关人年龄_code,相关人收入_code,相关人学历_code,相关人通信方式_code,金额损失_code,相关人恢复时间_code,是否报警_code,案发城市经济水平_code,相关人身份_code
2024,5,1,0,24,9,1.0,3.0,2.0,9,1,3,0,1,149,1
2023,1,1,0,24,9,1.0,2.0,2.0,2,1,2,2,1,13,1
2024,6,1,9,24,9,2.0,3.0,2.0,9,1,1,0,1,63,1
2024,6,1,9,8,9,1.0,3.0,2.0,5,6,3,2,1,13,1
2024,6,1,9,24,9,2.0,6.0,2.0,9,2,2,2,1,63,1
2024,6,1,9,24,9,1.0,3.0,1.0,9,1,2,2,1,63,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,6,3,2,1,65,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,17,10,1.0,3.0,2.0,9,1,2,0,1,63,1
2024,5,1,0,8,9,1.0,4.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,8,9,1.0,0.0,2.0,4,1,3,0,1,5,1
2023,8,1,40,24,9,1.0,2.0,2.0,9,1,2,2,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,1,0,1,63,1
2024,6,1,9,24,9,2.0,4.0,1.0,9,1,2,2,1,63,1
2023,5,24,23,24,9,2.0,7.0,1.0,9,6,3,2,1,63,1
2024,6,1,9,24,9,2.0,3.0,2.0,9,1,3,2,1,195,1
2024,5,1,0,24,9,2.0,3.0,2.0,9,1,2,0,1,63,1
2024,5,1,0,8,9,2.0,6.0,2.0,9,1,4,2,1,63,1
2024,5,1,0,24,9,2.0,3.0,2.0,9,0,3,2,1,63,1
2024,6,1,9,24,9,2.0,6.0,2.0,9,1,3,0,1,63,1
2024,5,1,0,12,9,1.0,3.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,24,9,1.0,3.0,2.0,9,2,2,0,1,63,1
2024,6,1,9,24,9,2.0,4.0,2.0,9,1,3,2,1,63,1
2024,6,1,9,24,9,2.0,4.0,2.0,9,1,3,0,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,8,9,1.0,5.0,1.0,9,1,4,2,1,65,1
2024,5,1,0,17,10,1.0,3.0,2.0,9,1,2,0,1,63,1
2023,3,1,34,24,9,1.0,3.0,1.0,4,6,0,0,1,63,1
2024,5,1,0,24,9,2.0,4.0,2.0,9,1,2,2,1,63,1
2024,4,1,3,24,9,1.0,3.0,2.0,9,1,3,2,1,63,1
2024,6,1,9,24,9,2.0,4.0,2.0,9,1,3,2,1,63,1
2024,4,1,3,24,9,1.0,3.0,2.0,9,1,1,0,1,5,1
2024,6,1,9,8,9,2.0,6.0,1.0,9,1,4,2,1,63,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,1,3,2,1,63,1
2024,6,1,9,8,9,1.0,5.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,24,9,2.0,4.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,8,9,2.0,4.0,2.0,5,0,5,0,1,63,1
2024,5,1,0,24,9,2.0,2.0,1.0,1,1,2,0,1,63,1
2024,5,1,0,24,9,1.0,2.0,1.0,1,1,2,0,1,45,1
2024,1,1,0,24,9,2.0,6.0,2.0,9,5,2,0,1,63,1
2024,6,1,9,2,6,2.0,4.0,2.0,9,1,4,2,1,63,1
2024,5,1,0,24,9,1.0,5.0,2.0,9,6,3,0,1,110,1
2022,5,1,0,8,9,2.0,7.0,1.0,3,1,3,0,1,63,1
2024,5,1,0,8,9,2.0,6.0,2.0,9,1,3,2,1,63,1
2023,11,1,31,8,9,1.0,4.0,2.0,9,1,3,2,1,63,1
2024,5,1,0,8,9,2.0,5.0,1.0,9,1,4,2,1,63,1
2024,4,1,3,24,9,2.0,7.0,1.0,9,6,3,2,1,63,1
2024,5,1,0,24,9,1.0,4.0,1.0,9,6,3,0,1,63,1
2024,5,1,0,8,9,2.0,5.0,2.0,9,1,3,2,1,63,1
2024,6,1,9,24,9,1.0,2.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,8,9,1.0,4.0,2.0,6,5,3,0,1,63,1
2024,5,1,0,17,10,1.0,4.0,2.0,9,1,2,0,1,63,1
2024,5,1,0,17,10,1.0,4.0,2.0,9,1,2,0,1,63,1
2023,6,1,21,8,9,2.0,4.0,2.0,9,1,3,2,1,63,1
2024,1,1,0,24,9,2.0,3.0,2.0,3,1,2,0,1,63,1
2024,1,1,0,17,10,2.0,4.0,2.0,5,1,2,2,1,63,1
2024,5,1,0,24,9,1.0,3.0,2.0,9,5,3,2,1,63,1
2024,6,1,9,2,9,1.0,4.0,2.0,5,5,3,0,1,94,1
2024,6,1,9,24,9,2.0,4.0,1.0,9,1,3,0,1,63,1
2024,5,1,0,24,9,2.0,4.0,2.0,9,1,2,2,1,63,1
2024,6,1,9,24,9,1.0,4.0,2.0,2,1,3,0,1,63,1
2024,6,1,9,8,9,2.0,6.0,1.0,9,1,4,2,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,3,2,1,63,1
2024,5,1,0,8,9,2.0,5.0,1.0,9,6,3,2,1,63,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,1,4,2,1,63,1
2024,5,1,0,24,9,2.0,5.0,2.0,6,2,3,0,1,63,1
2024,6,1,9,8,9,2.0,5.0,1.0,9,2,4,2,1,63,1
2024,4,1,3,12,9,1.0,4.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,17,10,1.0,3.0,2.0,9,1,2,0,1,63,1
2023,8,1,40,8,9,2.0,5.0,2.0,9,6,3,0,1,63,1
2024,1,1,0,24,9,2.0,5.0,1.0,9,1,2,2,1,63,1
2023,12,1,24,24,9,2.0,3.0,2.0,4,1,1,0,1,63,1
2023,4,1,3,8,9,2.0,4.0,2.0,9,6,4,0,1,13,1
2024,5,1,0,8,9,1.0,4.0,2.0,9,3,4,2,1,63,1
2024,5,1,0,8,9,2.0,4.0,2.0,9,1,4,2,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,2,3,2,1,63,1
2024,5,1,0,24,9,1.0,3.0,2.0,9,1,1,0,1,63,1
2024,5,1,0,24,9,1.0,3.0,2.0,9,1,1,0,1,63,1
2024,5,1,0,24,9,1.0,3.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,8,9,2.0,5.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,17,10,2.0,5.0,2.0,9,1,3,0,1,63,1
2024,4,1,3,8,9,1.0,3.0,2.0,9,5,2,0,1,200,1
2024,6,1,9,24,9,2.0,7.0,1.0,9,1,2,2,1,63,1
2024,5,1,0,17,10,1.0,4.0,2.0,9,1,2,0,1,63,1
2024,1,1,0,24,9,1.0,6.0,1.0,9,1,2,2,1,195,1
2024,5,1,0,17,9,2.0,4.0,2.0,9,1,3,2,1,63,1
2024,2,1,9,8,9,1.0,3.0,2.0,3,1,3,0,1,43,1
2024,1,1,0,8,9,1.0,5.0,1.0,9,1,4,2,1,63,1
2024,1,1,0,20,9,1.0,6.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,17,9,2.0,5.0,2.0,9,1,4,0,1,63,1
2024,5,1,0,24,9,2.0,4.0,2.0,1,1,2,0,1,13,1
2024,5,1,0,8,9,1.0,4.0,2.0,9,1,4,2,1,63,1
2024,4,1,3,8,9,1.0,4.0,2.0,5,0,2,0,1,2,1
2024,2,1,9,8,9,2.0,6.0,2.0,9,1,3,0,1,13,1
2024,3,1,20,24,9,2.0,5.0,2.0,9,5,3,0,1,13,1
2024,6,1,9,12,9,2.0,6.0,2.0,5,0,4,0,1,63,1
2024,5,1,0,12,9,1.0,3.0,2.0,9,1,3,2,1,63,1
2024,4,1,3,24,9,2.0,6.0,2.0,9,1,0,0,1,63,1
2024,5,1,0,24,9,2.0,3.0,2.0,5,1,2,0,1,63,1
2023,10,1,0,8,9,2.0,5.0,2.0,9,6,4,2,1,63,1
2024,6,1,9,24,9,2.0,2.0,2.0,1,1,3,2,1,63,1
2023,6,1,21,24,9,1.0,8.0,2.0,9,1,1,0,1,13,1
2024,6,1,9,8,9,1.0,5.0,1.0,2,1,2,2,1,66,1
2024,5,1,0,12,5,1.0,4.0,2.0,2,1,3,0,1,5,1
2024,1,1,0,24,9,1.0,2.0,1.0,2,1,2,2,1,13,1
2024,6,1,9,8,9,2.0,5.0,2.0,9,1,3,2,1,63,1
2024,5,1,0,12,9,1.0,3.0,2.0,9,1,3,0,1,65,1
2023,2,1,10,8,9,2.0,5.0,2.0,1,1,3,2,1,63,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,24,9,2.0,2.0,2.0,3,1,2,2,1,63,1
2024,5,1,0,8,9,1.0,4.0,2.0,6,1,3,2,1,63,1
2023,8,1,40,2,0,1.0,5.0,1.0,5,1,4,2,1,63,1
2024,6,1,9,24,9,2.0,3.0,2.0,5,1,2,0,1,63,1
2024,4,1,3,17,9,2.0,3.0,2.0,5,1,3,2,1,63,1
2023,2,27,36,8,9,2.0,4.0,2.0,9,1,2,2,1,63,1
2024,6,1,9,24,9,1.0,4.0,1.0,5,1,4,2,1,64,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,24,9,2.0,7.0,1.0,2,5,3,2,1,63,1
2024,5,1,0,24,9,1.0,3.0,1.0,9,1,2,2,1,63,1
2024,6,1,9,14,9,1.0,4.0,1.0,5,0,4,2,1,63,1
2024,5,1,0,24,9,2.0,4.0,1.0,1,1,3,0,1,5,1
2024,6,1,9,24,9,1.0,3.0,1.0,9,1,3,0,1,4,1
2024,1,1,0,24,9,2.0,7.0,2.0,9,1,4,2,1,63,1
2024,5,1,0,12,9,1.0,3.0,2.0,9,1,3,2,1,63,1
2023,7,1,9,24,9,1.0,2.0,2.0,9,1,2,0,1,63,1
2024,4,1,3,24,9,1.0,5.0,2.0,6,2,2,0,1,5,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,1,3,2,1,63,1
2024,6,1,9,8,9,1.0,3.0,2.0,9,5,4,2,1,9,1
2024,5,1,0,24,9,1.0,5.0,2.0,2,1,3,0,1,165,1
2024,6,1,9,24,9,2.0,2.0,2.0,9,1,1,0,1,63,1
2023,12,1,24,24,9,1.0,3.0,1.0,9,1,2,0,1,63,1
2024,6,1,9,8,9,1.0,5.0,1.0,9,1,2,2,1,63,1
2024,4,1,3,8,9,2.0,2.0,2.0,9,1,3,0,1,63,1
2024,5,1,0,24,9,2.0,3.0,2.0,3,1,3,0,1,5,1
2023,12,1,24,24,9,2.0,3.0,2.0,9,1,2,0,1,63,1
2024,4,1,3,24,9,1.0,2.0,2.0,9,1,1,0,1,45,1
2024,5,1,0,24,9,2.0,3.0,2.0,9,1,2,0,1,63,1
2024,6,1,9,24,9,2.0,3.0,2.0,9,1,2,2,1,63,1
2023,3,1,34,12,5,1.0,2.0,2.0,3,1,1,0,1,200,1
2024,6,1,9,24,9,2.0,6.0,2.0,9,1,2,2,1,255,1
2024,6,1,9,24,9,2.0,6.0,2.0,9,1,2,2,1,63,1
2024,6,1,9,24,9,2.0,4.0,2.0,9,5,3,2,1,63,1
2024,6,1,9,8,9,1.0,6.0,1.0,9,1,3,2,1,63,1
2024,6,1,9,14,9,2.0,5.0,2.0,4,6,1,0,1,63,1
2024,5,1,0,24,9,2.0,3.0,1.0,9,1,2,2,1,195,1
2024,4,1,3,24,9,2.0,7.0,2.0,9,1,0,0,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,7,1,3,2,1,63,1
2024,5,1,0,17,9,1.0,6.0,2.0,9,1,2,0,1,63,1
2024,6,1,9,24,9,2.0,2.0,2.0,2,1,2,2,1,63,1
2024,5,1,0,24,9,1.0,6.0,1.0,9,1,2,0,1,63,1
2024,6,1,9,8,9,2.0,5.0,2.0,9,1,4,2,1,63,1
2024,6,1,9,24,9,2.0,7.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,17,9,1.0,5.0,2.0,9,1,2,0,1,63,1
2024,5,1,0,24,9,2.0,2.0,2.0,9,1,2,2,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,0,3,2,1,63,1
2024,4,1,3,8,9,1.0,4.0,1.0,9,1,3,2,1,63,1
2024,3,1,20,24,9,2.0,8.0,1.0,1,1,3,0,1,63,1
2024,4,1,3,24,9,2.0,4.0,2.0,9,1,2,0,1,63,1
2024,5,1,0,8,9,1.0,4.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,24,9,1.0,3.0,2.0,9,1,2,2,1,13,1
2024,4,1,3,8,9,1.0,4.0,1.0,9,1,3,2,1,63,1
2024,6,1,9,24,9,2.0,3.0,2.0,9,1,2,2,1,200,1
2024,4,1,3,24,9,1.0,7.0,2.0,9,5,3,2,1,63,1
2024,1,1,0,24,9,1.0,2.0,1.0,2,1,2,0,1,63,1
2024,6,1,9,24,9,2.0,5.0,1.0,9,1,3,0,1,2,1
2024,4,1,3,24,9,2.0,5.0,2.0,9,1,0,0,1,63,1
2024,1,1,0,24,9,2.0,3.0,2.0,9,6,2,0,1,63,1
2023,12,1,24,24,9,2.0,2.0,2.0,9,1,1,0,1,63,1
2024,6,1,9,8,9,2.0,6.0,2.0,9,1,4,0,1,13,1
2023,8,1,40,8,9,1.0,5.0,2.0,9,1,2,0,1,63,1
2024,2,1,9,24,9,2.0,3.0,2.0,9,1,1,0,1,60,1
2024,5,1,0,24,9,2.0,2.0,2.0,9,1,1,0,1,116,1
2024,4,1,3,24,9,2.0,5.0,1.0,9,4,3,2,1,5,1
2024,6,1,9,12,9,1.0,3.0,1.0,4,1,3,2,1,13,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,1,0,1,63,1
2024,5,1,0,24,9,2.0,3.0,2.0,9,1,2,0,1,63,1
2024,1,1,0,17,9,1.0,4.0,2.0,6,1,4,0,1,63,1
2023,11,1,31,24,9,2.0,6.0,2.0,9,1,2,2,1,63,1
2024,4,1,3,24,9,1.0,6.0,2.0,9,6,3,0,1,63,1
2024,5,1,0,17,10,1.0,3.0,2.0,9,1,2,0,1,63,1
2023,6,1,21,24,9,1.0,6.0,2.0,9,6,2,0,1,63,1
2024,1,1,0,17,9,1.0,5.0,2.0,9,1,3,0,1,13,1
2024,6,1,9,24,9,1.0,6.0,1.0,3,1,4,2,1,63,1
2024,5,1,0,24,9,2.0,2.0,2.0,3,1,2,2,1,63,1
2024,4,1,3,24,9,2.0,4.0,2.0,9,1,2,2,1,63,1
2023,12,1,24,24,9,2.0,4.0,2.0,9,1,2,0,1,63,1
2022,6,1,2,24,9,1.0,3.0,2.0,9,1,2,2,1,63,1
2024,2,1,9,24,9,2.0,2.0,2.0,9,1,2,2,1,63,1
2024,6,1,9,8,9,1.0,5.0,2.0,9,2,2,0,1,13,1
2024,5,1,0,8,9,2.0,5.0,2.0,9,6,3,2,1,63,1
2024,6,1,9,8,9,1.0,5.0,2.0,9,5,4,2,1,63,1
2024,5,1,0,17,9,2.0,5.0,2.0,9,1,4,0,1,63,1
2024,5,1,0,17,9,1.0,4.0,2.0,5,1,2,2,1,13,1
2024,2,1,9,24,9,1.0,8.0,2.0,9,1,1,0,1,63,1
2024,5,1,0,17,10,2.0,5.0,1.0,9,1,0,0,1,63,1
2024,1,1,0,24,9,1.0,4.0,2.0,3,1,3,0,1,62,1
2024,1,1,0,12,7,1.0,3.0,2.0,9,1,2,2,1,63,1
2024,1,1,0,8,9,1.0,5.0,3.0,2,6,3,0,1,60,1
2024,5,1,0,12,9,1.0,4.0,2.0,9,1,3,0,1,63,1
2024,2,1,9,24,9,1.0,2.0,2.0,9,1,1,0,1,63,1
2024,6,1,9,8,9,1.0,5.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,24,9,1.0,3.0,2.0,9,5,3,2,1,63,1
2024,1,1,0,2,9,1.0,5.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,24,9,1.0,2.0,1.0,2,1,2,2,1,63,1
2023,2,1,10,11,9,1.0,4.0,1.0,4,1,2,0,1,38,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,1,0,1,63,1
2024,2,1,9,24,9,2.0,2.0,2.0,9,1,1,0,1,13,1
2023,12,1,24,24,9,2.0,2.0,2.0,9,1,1,0,1,63,1
2024,6,1,9,8,9,1.0,4.0,1.0,9,1,3,2,1,63,1
2023,3,1,34,24,9,2.0,2.0,2.0,3,6,0,0,1,223,1
2023,6,1,21,8,9,2.0,5.0,2.0,9,6,3,0,1,63,1
2024,6,1,9,24,9,2.0,2.0,2.0,9,1,2,2,1,63,1
2024,2,1,9,24,9,2.0,2.0,2.0,9,1,2,0,1,1,1
2023,6,1,21,8,9,2.0,6.0,2.0,9,6,3,0,1,185,1
2024,5,1,0,8,9,1.0,3.0,2.0,9,6,3,0,1,1,1
2024,2,1,9,8,9,2.0,4.0,2.0,9,1,3,2,1,63,1
2023,12,1,24,12,9,1.0,6.0,1.0,9,1,3,2,1,13,1
2024,1,1,0,24,9,2.0,3.0,2.0,9,3,3,0,1,63,1
2024,1,1,0,24,9,1.0,5.0,1.0,9,1,2,2,1,63,1
2023,11,1,31,24,9,2.0,5.0,2.0,9,1,3,2,1,63,1
2023,12,1,24,20,9,1.0,4.0,1.0,1,6,2,0,1,60,1
2024,1,1,0,24,9,1.0,4.0,2.0,9,6,3,0,1,6,1
2022,12,1,24,8,9,0.0,4.0,2.0,9,1,3,0,1,16,1
2024,1,1,0,24,9,1.0,2.0,2.0,9,1,1,0,1,63,1
2024,3,1,20,24,9,1.0,4.0,2.0,9,6,3,0,1,1,1
2024,5,1,0,8,9,2.0,6.0,1.0,1,1,0,0,1,5,1
2024,3,1,20,24,9,1.0,4.0,2.0,9,6,3,0,1,1,1
2023,1,1,0,8,9,2.0,4.0,1.0,6,1,3,0,1,64,1
2024,5,1,0,24,9,2.0,3.0,2.0,9,1,2,0,1,63,1
2024,1,1,0,24,9,2.0,7.0,2.0,4,1,2,0,1,5,1
2024,4,1,3,17,10,1.0,4.0,2.0,9,1,3,2,1,63,1
2024,5,1,0,8,9,2.0,4.0,1.0,9,1,3,2,1,13,1
2023,11,1,31,11,9,1.0,3.0,2.0,5,1,2,0,1,63,1
2024,1,1,0,17,9,1.0,4.0,2.0,9,1,3,2,1,63,1
2024,6,1,9,8,9,1.0,5.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,24,9,2.0,3.0,1.0,9,1,2,0,1,63,1
2024,1,1,0,24,9,2.0,4.0,2.0,9,1,1,0,1,63,1
2024,5,1,0,8,9,2.0,4.0,1.0,9,1,3,0,1,63,1
2024,5,1,0,24,9,2.0,3.0,2.0,9,5,2,0,1,28,1
2024,1,1,0,8,9,2.0,5.0,2.0,9,1,4,2,1,63,1
2024,5,1,0,8,9,2.0,6.0,1.0,9,1,4,2,1,63,1
2024,5,1,0,24,9,1.0,3.0,2.0,5,0,3,0,1,63,1
2024,1,1,0,24,9,2.0,5.0,1.0,2,1,2,0,1,63,1
2023,8,1,40,20,9,1.0,5.0,2.0,9,6,3,0,1,63,1
2024,5,1,0,8,9,2.0,3.0,1.0,9,1,3,2,1,63,1
2024,6,1,9,24,9,2.0,7.0,1.0,9,1,4,2,1,63,1
2023,10,1,0,24,9,2.0,2.0,2.0,9,1,2,0,1,63,1
2024,2,1,9,24,9,1.0,3.0,1.0,2,1,2,0,1,43,1
2024,1,1,0,24,9,1.0,4.0,1.0,2,1,0,0,1,88,1
2018,9,1,23,24,9,2.0,4.0,2.0,9,4,3,0,1,1,1
2023,10,1,0,24,9,1.0,3.0,2.0,4,5,1,1,1,37,1
2024,4,1,3,20,9,1.0,5.0,2.0,9,0,4,2,1,63,1
2024,5,1,0,8,9,2.0,5.0,2.0,3,1,4,0,1,45,1
2024,6,1,9,24,9,2.0,3.0,2.0,5,1,2,0,1,63,1
2024,5,1,0,17,10,1.0,4.0,2.0,9,1,2,0,1,63,1
2023,5,1,0,20,9,1.0,5.0,2.0,2,6,3,0,1,52,1
2023,11,1,31,24,9,2.0,6.0,2.0,9,1,2,2,1,63,1
2024,2,1,9,8,9,1.0,4.0,2.0,6,1,1,0,1,63,1
2024,5,1,0,24,9,2.0,5.0,2.0,9,1,2,2,1,63,1
2024,1,1,0,24,9,2.0,6.0,1.0,9,1,2,2,1,63,1
2024,2,1,9,24,9,1.0,2.0,1.0,1,1,3,2,1,63,1
2024,5,1,0,24,9,2.0,7.0,2.0,4,1,2,0,1,63,1
2024,5,1,0,12,9,1.0,3.0,2.0,9,1,3,2,1,63,1
2024,1,1,0,24,9,2.0,3.0,2.0,9,1,3,0,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,2,2,1,63,1
2024,1,1,0,8,9,1.0,3.0,2.0,9,6,2,0,1,63,1
2024,1,1,0,24,9,2.0,3.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,17,10,2.0,5.0,2.0,9,1,3,0,1,63,1
2024,5,1,0,12,9,1.0,4.0,2.0,9,1,3,0,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,1,0,1,63,1
2024,6,1,9,24,9,2.0,5.0,1.0,9,4,2,2,1,63,1
2024,5,1,0,17,10,2.0,5.0,2.0,9,1,3,0,1,63,1
2024,6,1,9,24,9,2.0,3.0,1.0,9,1,2,2,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,0,3,2,1,1,1
2024,5,1,0,24,9,1.0,2.0,2.0,9,1,3,0,1,63,1
2024,6,1,9,8,9,2.0,5.0,1.0,9,1,4,2,1,63,1
2024,6,1,9,24,9,1.0,3.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,8,9,2.0,4.0,1.0,9,1,3,1,1,63,1
2024,4,1,3,17,10,1.0,4.0,2.0,9,1,4,2,1,63,1
2024,5,1,0,24,9,2.0,7.0,2.0,9,1,3,2,1,63,1
2024,4,1,3,24,9,1.0,7.0,1.0,3,3,3,1,1,43,1
2024,1,1,0,8,9,2.0,3.0,2.0,9,1,4,0,1,63,1
2024,4,1,3,8,9,1.0,5.0,2.0,9,5,2,2,1,63,1
2024,6,1,9,8,9,1.0,5.0,2.0,9,1,1,2,1,63,1
2024,4,1,3,8,9,2.0,4.0,1.0,9,1,3,2,1,63,1
2024,2,1,9,24,9,1.0,2.0,2.0,9,1,1,0,1,63,1
2023,4,1,3,8,9,2.0,4.0,2.0,9,6,4,0,1,13,1
2024,5,1,0,17,9,2.0,5.0,2.0,9,1,4,0,1,63,1
2023,2,27,36,24,9,1.0,4.0,1.0,1,1,3,0,1,63,1
2024,4,1,3,24,9,2.0,5.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,24,9,1.0,5.0,2.0,9,6,3,0,1,71,1
2024,1,1,0,12,7,1.0,3.0,2.0,9,1,2,2,1,63,1
2019,7,1,24,8,9,1.0,3.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,24,9,2.0,2.0,2.0,2,1,2,2,1,63,1
2024,4,1,3,12,9,1.0,3.0,2.0,9,1,2,2,1,63,1
2021,1,1,0,8,9,1.0,6.0,3.0,9,4,2,0,1,63,1
2023,6,1,21,24,9,2.0,8.0,2.0,9,1,3,2,1,63,1
2024,3,1,20,24,9,1.0,5.0,2.0,9,1,3,0,1,63,1
2024,6,1,9,8,6,1.0,5.0,2.0,9,1,4,2,1,63,1
2024,4,1,3,24,9,1.0,3.0,2.0,9,1,2,2,1,1,1
2024,5,1,0,24,9,1.0,8.0,2.0,9,1,2,0,1,63,1
2024,1,1,0,8,9,1.0,6.0,2.0,5,1,4,1,1,155,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,2,3,2,1,63,1
2023,2,1,10,24,9,2.0,4.0,1.0,9,0,2,0,1,63,1
2023,3,1,34,17,9,1.0,4.0,2.0,6,2,4,0,1,63,1
2024,5,1,0,8,9,1.0,4.0,1.0,9,1,4,2,1,1,1
2023,11,1,31,8,9,1.0,4.0,2.0,9,1,2,2,1,63,1
2024,4,1,3,17,10,1.0,4.0,2.0,9,1,3,2,1,63,1
2024,5,1,0,24,9,2.0,0.0,2.0,9,5,2,2,1,5,1
2024,5,1,0,8,9,1.0,5.0,1.0,9,1,4,2,1,63,1
2024,6,1,9,8,9,1.0,4.0,1.0,9,6,3,2,1,63,1
2024,4,1,3,24,9,1.0,5.0,2.0,5,1,0,0,1,1,1
2024,2,1,9,24,9,1.0,3.0,1.0,2,1,1,1,1,14,1
2024,5,1,0,8,9,1.0,4.0,2.0,9,1,3,2,1,63,1
2024,1,1,0,24,9,1.0,6.0,2.0,9,1,1,2,1,63,1
2024,4,1,3,24,9,2.0,5.0,1.0,9,1,2,2,1,63,1
2024,4,1,3,24,9,2.0,4.0,2.0,9,1,2,2,1,63,1
2024,1,1,0,24,9,2.0,4.0,2.0,6,1,3,2,1,63,1
2024,1,1,0,24,9,1.0,5.0,1.0,1,6,2,2,1,174,1
2024,6,1,9,20,9,1.0,3.0,2.0,1,5,2,0,1,5,1
2024,5,1,0,24,9,2.0,5.0,1.0,5,1,4,2,1,63,1
2024,5,1,0,24,9,2.0,3.0,2.0,9,1,2,2,1,63,1
2024,6,1,9,24,9,1.0,3.0,2.0,9,1,1,0,1,63,1
2024,4,1,3,24,9,2.0,3.0,1.0,9,4,2,2,1,63,1
2024,1,1,0,24,9,2.0,5.0,2.0,9,1,0,0,1,63,1
2023,11,1,31,24,9,2.0,3.0,2.0,9,1,2,2,1,63,1
2024,1,1,0,12,9,1.0,3.0,2.0,9,1,2,2,1,13,1
2020,11,1,31,8,9,2.0,4.0,2.0,5,6,5,0,1,147,1
2024,4,1,3,8,9,1.0,4.0,2.0,3,1,4,0,1,166,1
2020,1,1,0,12,9,1.0,4.0,1.0,1,1,3,0,1,36,1
2024,3,1,20,24,9,1.0,5.0,2.0,5,6,3,1,1,1,1
2024,4,1,3,24,9,1.0,3.0,2.0,4,6,3,0,1,1,1
2024,4,1,3,24,9,1.0,7.0,2.0,9,5,3,0,1,63,1
2024,5,1,0,24,9,2.0,6.0,1.0,9,1,0,2,1,13,1
2004,10,1,0,24,9,1.0,2.0,2.0,4,1,2,0,1,20,1
2024,5,1,0,12,9,1.0,5.0,2.0,9,1,3,0,1,13,1
2024,4,1,3,24,9,1.0,2.0,2.0,9,6,3,0,1,6,1
2024,5,1,0,8,9,1.0,4.0,2.0,3,1,2,0,1,13,1
2024,5,1,0,8,9,2.0,6.0,2.0,9,1,3,2,1,63,1
2024,4,1,3,8,9,1.0,5.0,2.0,2,1,2,0,1,78,1
2023,4,1,3,24,9,1.0,2.0,2.0,4,4,1,0,1,78,1
2023,3,1,34,24,9,1.0,2.0,2.0,4,6,1,0,1,78,1
2023,1,1,0,20,9,2.0,4.0,1.0,2,6,3,0,1,16,1
2024,5,1,0,24,9,2.0,8.0,1.0,9,5,4,2,1,63,1
2024,6,1,9,24,9,2.0,2.0,1.0,9,1,3,2,1,13,1
2024,6,1,9,24,9,2.0,7.0,1.0,9,1,3,0,1,63,1
2023,3,1,34,24,9,2.0,2.0,2.0,4,1,2,0,1,5,1
2023,4,1,3,24,9,1.0,2.0,2.0,2,5,2,0,1,20,1
2023,4,1,3,24,9,1.0,2.0,1.0,2,6,1,1,1,77,1
2023,5,1,0,24,9,1.0,2.0,2.0,4,6,1,0,1,78,1
2024,5,1,0,24,9,1.0,4.0,2.0,9,1,3,0,1,118,1
2024,5,1,0,17,9,2.0,5.0,2.0,9,1,4,0,1,63,1
2024,5,1,0,24,9,1.0,5.0,2.0,9,6,3,0,1,1,1
2023,1,1,0,24,9,2.0,4.0,2.0,9,6,3,0,1,6,1
2024,4,1,3,24,9,2.0,3.0,2.0,9,6,3,0,1,6,1
